"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Alex\Desktop\Projects\backend\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Alex\Desktop\Projects\backend\config.json", "JSON", 0, 0, 0, 63, 0, 0, 17, 80
"c:\Users\Alex\Desktop\Projects\backend\index.ts", "TypeScript", 0, 140, 0, 0, 0, 13, 19, 172
"c:\Users\Alex\Desktop\Projects\backend\package.json", "JSON", 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\Alex\Desktop\Projects\backend\scripts\clean.js", "JavaScript", 8, 0, 0, 0, 0, 2, 2, 12
"c:\Users\Alex\Desktop\Projects\backend\src\base\Bytes.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 13, 56
"c:\Users\Alex\Desktop\Projects\backend\src\base\ClientRequest.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 5, 20
"c:\Users\Alex\Desktop\Projects\backend\src\base\HttpError.ts", "TypeScript", 0, 11, 0, 0, 0, 1, 3, 15
"c:\Users\Alex\Desktop\Projects\backend\src\base\HttpServer.ts", "TypeScript", 0, 196, 0, 0, 0, 8, 34, 238
"c:\Users\Alex\Desktop\Projects\backend\src\base\Path.ts", "TypeScript", 0, 145, 0, 0, 0, 2, 32, 179
"c:\Users\Alex\Desktop\Projects\backend\src\base\Schema.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\Alex\Desktop\Projects\backend\src\routes\Default.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Alex\Desktop\Projects\backend\src\routes\FetchRiders.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\GetPromos.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Alex\Desktop\Projects\backend\src\routes\GetServices.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Alex\Desktop\Projects\backend\src\routes\addresses\DeleteUserAddress.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alex\Desktop\Projects\backend\src\routes\addresses\EditUserAddress.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Alex\Desktop\Projects\backend\src\routes\addresses\GetUserAddresses.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\addresses\GetUserAddressesById.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\addresses\NewUserAddress.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\admin\AddRiderCredits.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\admin\AdminApproveLoad.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 4, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\admin\AdminVerifyRider.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alex\Desktop\Projects\backend\src\routes\admin\GetAdminSelf.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\admin\GetAdminToken.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 4, 19
